NCBI accession number,name of host,genus,family,order,class,phylum,domain
CP008730.1,Burkholderia multivorans,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
JRQD01,Methylophaga thiooxydans,Methylophaga,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria
JSAQ01,Dokdonia donghaensis DSW-1,Dokdonia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
JPPT01,Yersinia ruckeri ATCC 29473,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JGYL01,Bifidobacterium angulatum,Bifidobacterium,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Bacteria
AZXW01,Leptotrichia goodfellowii DSM 19756,Leptotrichia,Leptotrichiaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
JNJO01,Gemella sanguinis ATCC 700632,Gemella,,Bacillales,Bacilli,Firmicutes,Bacteria
JRMW01,Anaerococcus lactolyticus S7-1-13,Anaerococcus,Peptoniphilaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JNKE01,Ruminococcus flavefaciens MC2020,Ruminococcus,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
JPKO01,Pantoea stewartii subsp. indologenes,Pantoea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JHWT01,Fusobacterium necrophorum HUN048,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
JMEA01,Leuconostoc lactis,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
JEMG01,Hylemonella gracilis str. Niagara R,Hylemonella,Comamonadaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
JDVA01,Leuconostoc pseudomesenteroides PS12,Leuconostoc,Leuconostocaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
JAFH01,Patulibacter minatonensis DSM 18081,Patulibacter,Patulibacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,Bacteria
JFBT01,Cryptosporangium arvum DSM 44712,Cryptosporangium,Cryptosporangiaceae,Frankiales,Actinobacteria,Actinobacteria,Bacteria
AZXR01,Promicromonospora kroppenstedtii DSM 19349,Promicromonospora,Promicromonosporaceae,Micrococcales,Actinobacteria,Actinobacteria,Bacteria
AZYG01,Halonatronum saccharophilum DSM 13868,Halonatronum,Halobacteroidaceae,Halanaerobiales,Clostridia,Firmicutes,Bacteria
JONY01,Mycoplasma columbinum ATCC 29257,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
JOKM01,Acetobacter tropicalis,Acetobacter,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
JANE01,Staphylococcus sciuri subsp. sciuri Z8,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JPIX01,Proteus vulgaris,Proteus,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JQJX01,Agrobacterium rhizogenes,Agrobacterium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
JOCK01,Streptomyces peucetius,Streptomyces,Streptomycetaceae,Streptomycetales,Actinobacteria,Actinobacteria,Bacteria
JAOI01,Mycobacterium chelonae 1518,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
AOMT01,Moraxella bovoculi 237,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
JFBR01,Cloacibacillus evryensis DSM 19522,Cloacibacillus,Synergistaceae,Synergistales,Synergistia,Synergistetes,Bacteria
JATQ01,Eubacterium sulci ATCC 35585,,Clostridiales Family XIII. Incertae Sedis,Clostridiales,Clostridia,Firmicutes,Bacteria
CCNS01,Burkholderia glathei,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
JMPJ01,Ewingella americana ATCC 33852,Ewingella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AHPK01,Bartonella rochalimae ATCC BAA-1498,Bartonella,Bartonellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
AJUE01,Ectothiorhodospira haloalkaliphila ATCC 51935,Ectothiorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria
JMTB01,Trabulsiella guamensis ATCC 49490,Trabulsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JMPL01,Kluyvera ascorbata ATCC 33433,Kluyvera,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JOKG01,Endozoicomonas montiporae,Endozoicomonas,Hahellaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
JHZL01,Campylobacter cuniculorum DSM 23162,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
JHQP01,Campylobacter hyointestinalis subsp. hyointestinalis,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
JMTI01,Campylobacter sputorum biovar sputorum,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
JHQQ01,Campylobacter mucosalis,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
JMPP01,Raoultella planticola ATCC 33531,Raoultella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JPRU01,Buttiauxella agrestis,Buttiauxella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
JMEX01,Rhodococcus fascians A44A,Rhodococcus,Nocardiaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
CCMN01,Bacillus aquimaris,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
BAJN01,Prevotella pleuritidis JCM 14110,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
JOJP01,Endozoicomonas elysicola,Endozoicomonas,Hahellaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
JFBU01,Saccharibacillus sacchari DSM 19268,Saccharibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
JFYR01,Janthinobacterium lividum,Janthinobacterium,Oxalobacteraceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
BAKN01,Prevotella saccharolytica JCM 17484,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
AZXQ01,Cohnella panacarvi Gsoil 349,Cohnella,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AHPL01,Bartonella koehlerae C-29,Bartonella,Bartonellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria
JAFE01,Desulfonatronum lacustre DSM 10312,Desulfonatronum,Desulfonatronumaceae,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria
JFBS01,Prevotella oryzae DSM 17970,Prevotella,Prevotellaceae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria
AYSJ01,Photorhabdus temperata subsp. khanii NC19,Photorhabdus,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
AZXT01,Jiangella gansuensis DSM 44835,Jiangella,Jiangellaceae,Jiangellales,Actinobacteria,Actinobacteria,Bacteria
AZXM01,Rhodovibrio salinarum DSM 9154,Rhodovibrio,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria
JCKJ01,Methylophilaceae bacterium 11,,Methylophilaceae,Methylophilales,Betaproteobacteria,Proteobacteria,Bacteria
AZUQ01,Haloglycomyces albus DSM 45210,Haloglycomyces,Glycomycetaceae,Glycomycetales,Actinobacteria,Actinobacteria,Bacteria
AXDD01,Burkholderia caribensis MBA4,Burkholderia,Burkholderiaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Bacteria
JNYA01,Actinosynnema pretiosum subsp. auranticum,Actinosynnema,Pseudonocardiaceae,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria
JAFN01,Deferrisoma camini S3R1,Deferrisoma,,,Deltaproteobacteria,Proteobacteria,Bacteria
ARXU01,Alcanivorax jadensis T9,Alcanivorax,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria
ASJC01,Bacillus altitudinis 41KF2b,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Bacteria
AZVA01,Paracoccus sp. J55,Paracoccus,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
JONX01,Colwellia sp. 8_GOM-1096m,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
AYYG01,Labrenzia sp. DG1229,Labrenzia,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
ADLA01,Collinsella sp. 4_8_47FAA,Collinsella,Coriobacteriaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Bacteria
JIAX01,Ahrensia sp. 13_GOM-1096m,Ahrensia,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria
