NCBI Accession,type,proportion,number of bp
NC_021190.1,virus,0.000401748,8034.965597
NC_024206.1,virus,0.001006812,20136.23258
NC_024329.1,virus,0.000702413,14048.26723
NC_027118.1,virus,0.000219396,4387.929747
NC_027119.1,virus,0.000795456,15909.11702
NC_027120.1,virus,0.000267641,5352.814822
NC_027125.1,virus,0.001725881,34517.6149
NC_027130.1,virus,0.002972191,59443.81267
NC_027132.1,virus,0.002450693,49013.86448
NC_027204.1,virus,0.001573682,31473.63222
NC_027292.1,virus,0.000152773,3055.469405
NC_027293.1,virus,0.001121679,22433.578
NC_027294.1,virus,6.72E-05,1343.947069
NC_027295.1,virus,3.91E-05,781.0974419
NC_027296.1,virus,0.000276256,5525.115729
NC_027297.1,virus,0.000936743,18734.85188
NC_027299.1,virus,0.000247539,4950.779374
NC_027329.1,virus,0.000447408,8948.160401
NC_027330.1,virus,0.00013382,2676.407411
NC_027331.1,virus,0.001578851,31577.01276
NC_027332.1,virus,0.001929196,38583.91628
NC_027333.1,virus,5.00E-05,999.3452566
NC_027334.1,virus,0.000119462,2389.239234
NC_027335.1,virus,0.001905648,38112.96047
NC_027336.1,virus,3.16E-05,631.7699898
NC_027337.1,virus,0.000510585,10211.70038
NC_027339.1,virus,0.00030727,6145.398991
NC_027340.1,virus,0.001030359,20607.18839
NC_027341.1,virus,0.003701311,74026.21271
NC_027342.1,virus,0.000187234,3744.67303
NC_027344.1,virus,0.003263092,65261.83994
NC_027345.1,virus,0.000109698,2193.964874
NC_027346.1,virus,6.89E-05,1378.40725
NC_027348.2,virus,0.00027281,5456.195366
NC_027349.1,virus,0.001934939,38698.78356
NC_027350.1,virus,0.000346325,6926.496433
NC_027351.1,virus,0.001787335,35746.69469
NC_027352.1,virus,0.001260094,25201.87923
NC_027354.1,virus,6.95E-05,1389.893978
NC_027355.1,virus,0.0020768,41536.00515
NC_027356.1,virus,0.000698967,13979.34686
NC_027357.1,virus,3.22E-05,643.2567169
NC_027358.1,virus,0.000551937,11038.74473
NC_027359.1,virus,3.79E-05,758.1239877
NC_027360.1,virus,0.00043707,8741.399313
NC_027361.1,virus,5.40E-05,1079.752346
NC_027362.1,virus,3.22E-05,643.2567169
NC_027363.1,virus,0.00040261,8052.195688
NC_027364.1,virus,0.00723951,144790.1949
NC_027365.1,virus,0.000148753,2975.062315
NC_027366.1,virus,0.002805633,56112.66182
NC_027367.1,virus,2.01E-05,402.035448
NC_027369.1,virus,0.000568593,11371.85982
NC_027370.1,virus,8.73E-05,1745.982517
NC_027371.1,virus,8.39E-05,1677.062155
NC_027372.1,virus,0.000257877,5157.540462
NC_027373.1,virus,5.11E-05,1022.318711
NC_027374.1,virus,0.002552351,51047.01517
NC_027375.1,virus,0.000116016,2320.318872
NC_027377.1,virus,0.000191828,3836.566847
NC_027378.1,virus,0.000160814,3216.283584
NC_027379.1,virus,0.000647851,12957.02815
NC_027381.1,virus,0.001288236,25764.72886
NC_027382.1,virus,0.000383657,7673.133694
NC_027383.1,virus,0.00025558,5111.593554
NC_027384.1,virus,9.13E-05,1826.389607
NC_027385.1,virus,8.79E-05,1757.469244
NC_027386.1,virus,3.96E-05,792.584169
NC_027387.1,virus,0.00024036,4807.195286
NC_027388.1,virus,0.000111421,2228.425055
NC_027389.1,virus,2.47E-05,493.9292647
NC_027390.1,virus,0.000282573,5651.469727
NC_027391.1,virus,0.000142435,2848.708318
NC_027393.1,virus,0.000156219,3124.389768
NC_027394.1,virus,0.000281999,5639.983
NC_027395.1,virus,0.00082647,16529.40028
NC_027396.1,virus,0.000327372,6547.43444
NC_027397.1,virus,0.000165983,3319.664128
NC_027398.1,virus,0.000400312,8006.24878
NC_027399.1,virus,0.010070988,201419.7595
NC_027400.1,virus,2.47E-05,493.9292647
NC_027401.1,virus,7.24E-05,1447.327613
NC_027402.1,virus,0.002037171,40743.42098
NC_027404.1,virus,0.001864583,37291.65949
NC_027620.1,virus,3.73E-05,746.6372606
NC_027621.1,virus,3.27E-05,654.743444
NC_027622.1,virus,2.76E-05,551.3629002
NC_027623.1,virus,1.55E-05,310.1416313
NC_027624.1,virus,3.85E-05,769.6107148
NC_027625.1,virus,8.10E-05,1619.628519
NC_027626.1,virus,2.13E-05,425.0089022
NC_027627.1,virus,4.36E-05,872.9912586
NC_027628.1,virus,3.04E-05,608.7965356
NC_027629.1,virus,3.85E-05,769.6107148
NC_027630.1,virus,8.47E-05,1694.292245
NC_027633.1,virus,9.76E-05,1952.743605
NC_027634.1,virus,3.68E-05,735.1505336
NC_027635.1,virus,0.000254431,5088.620099
NC_027636.1,virus,1.72E-06,34.46018126
NC_027637.1,virus,0.000100509,2010.17724
NC_027638.1,virus,4.19E-05,838.5310773
NC_027639.1,virus,3.04E-05,608.7965356
NC_027640.1,virus,3.68E-05,735.1505336
NC_027641.1,virus,6.09E-05,1217.593071
NC_027642.1,virus,3.79E-05,758.1239877
NC_027643.1,virus,9.19E-06,183.7876334
NC_027644.1,virus,1.84E-05,367.5752668
NC_027645.1,virus,1.15E-05,229.7345417
NC_027646.1,virus,2.24E-05,447.9823564
NC_027647.1,virus,6.09E-05,1217.593071
NC_027648.1,virus,2.30E-06,45.94690835
NC_027979.1,virus,0.00097752,19550.4095
NC_027982.1,virus,0.000226289,4525.770472
NC_027983.1,virus,0.000935881,18717.62179
NC_027984.1,virus,0.000182065,3641.292487
NC_027985.1,virus,1.72E-05,344.6018126
NC_027986.1,virus,0.00030325,6064.991902
NC_027987.1,virus,0.000611668,12233.36435
NC_027988.2,virus,0.000795456,15909.11702
NC_027990.1,virus,0.000262472,5249.434279
NC_027991.1,virus,0.000319044,6380.876897
NC_027992.1,virus,0.00012578,2515.593232
NC_027993.1,virus,0.000230883,4617.664289
NC_027994.1,virus,0.000299804,5996.071539
NC_027995.1,virus,0.000256154,5123.080281
NC_028247.1,virus,0.001046441,20928.81675
NC_028248.1,virus,0.001179113,23582.25071
NC_028448.1,virus,0.000756114,15122.27621
NC_028449.1,virus,0.000156794,3135.876495
NC_028651.1,virus,0.000917789,18355.78988
NC_028652.1,virus,0.000241796,4835.912104
NC_028653.1,virus,0.000239498,4789.965195
NC_028654.1,virus,4.88E-05,976.3718024
NC_028655.1,virus,0.000755827,15116.53285
NC_028656.1,virus,0.000142148,2842.964954
NC_028657.1,virus,0.000249262,4985.239556
NC_028658.1,virus,2.58E-05,516.9027189
NC_028659.1,virus,0.002637353,52747.05078
NC_028660.1,virus,0.000154496,3089.929586
NC_028661.1,virus,0.000137266,2745.327774
NC_028662.1,virus,0.00027683,5536.602456
NC_028663.1,virus,0.001665001,33300.02182
NC_028664.1,virus,0.000159666,3193.31013
NC_028665.1,virus,0.00017345,3468.99158
NC_028666.1,virus,0.000453726,9074.514399
NC_028667.1,virus,0.000116016,2320.318872
NC_028668.1,virus,0.000335987,6719.735346
NC_028669.1,virus,0.00032852,6570.407894
NC_028670.1,virus,9.71E-05,1941.256878
NC_028671.2,virus,0.001012842,20256.84322
NC_028672.1,virus,0.001306615,26132.30412
NC_028673.1,virus,0.000149902,2998.03577
NC_028674.1,virus,2.53E-05,505.4159918
NC_028675.1,virus,0.000491058,9821.151659
NC_028676.1,virus,0.000896539,17930.78098
NC_028677.1,virus,0.000655318,13106.35561
NC_028678.1,virus,8.79E-05,1757.469244
NC_028679.1,virus,0.000110273,2205.451601
NC_028680.1,virus,3.68E-05,735.1505336
NC_028681.1,virus,9.76E-06,195.2743605
NC_028682.1,virus,1.55E-05,310.1416313
NC_028683.1,virus,0.003983597,79671.93907
NC_028684.1,virus,9.53E-05,1906.796696
NC_028685.1,virus,0.000149615,2992.292406
NC_028686.1,virus,0.001383576,27671.52555
NC_028687.1,virus,0.000126928,2538.566686
NC_028688.1,virus,0.000139564,2791.274682
NC_028689.1,virus,2.01E-05,402.035448
NC_028690.1,virus,1.90E-05,379.0619939
NC_028691.1,virus,7.87E-05,1573.681611
NC_028692.1,virus,8.21E-05,1642.601973
NC_028693.1,virus,0.000929851,18597.01115
NC_028694.1,virus,2.04E-05,407.7788116
NC_028695.2,virus,0.000322203,6444.053896
NC_028696.2,virus,0.000198146,3962.920845
NC_028697.1,virus,0.000408353,8167.062959
NC_028698.1,virus,0.000196997,3939.947391
NC_028699.1,virus,0.000244093,4881.859012
NC_028700.1,virus,0.000404333,8086.655869
NC_028701.2,virus,8.50E-05,1700.035609
NC_028702.1,virus,0.000130374,2607.487049
NC_028742.1,virus,0.000147604,2952.088861
NC_028743.1,virus,0.000404333,8086.655869
NC_028744.1,virus,0.000126354,2527.079959
NC_028745.1,virus,0.000325649,6512.974258
NC_028746.1,virus,0.000404333,8086.655869
NC_028747.1,virus,7.98E-05,1596.655065
NC_028748.2,virus,0.000645554,12911.08125
NC_028749.1,virus,0.001825815,36516.30541
NC_028750.1,virus,0.002774619,55492.37856
NC_028751.1,virus,6.89E-05,1378.40725
NC_028754.1,virus,0.000550789,11015.77128
NC_028755.1,virus,0.001758618,35172.35834
NC_028757.1,virus,0.000153348,3066.956132
NC_028758.1,virus,0.000265918,5318.354641
NC_028759.1,virus,0.000230309,4606.177562
NC_028760.1,virus,0.000156794,3135.876495
NC_028762.1,virus,0.004441917,88838.34729
NC_028763.1,virus,0.001199789,23995.77288
NC_028765.1,virus,0.003103139,62062.78645
NC_028766.1,virus,0.000341156,6823.11589
NC_028767.1,virus,0.000382508,7650.16024
NC_028768.1,virus,0.000252708,5054.159918
NC_028770.1,virus,0.000232606,4652.12447
NC_028772.1,virus,0.000185511,3710.212849
NC_028773.1,virus,0.002740733,54814.66166
NC_028774.1,virus,0.000175747,3514.938489
NC_028775.1,virus,0.001269283,25385.66686
NC_028776.1,virus,0.000237201,4744.018287
NC_028777.1,virus,0.001489829,29796.57006
NC_028778.1,virus,0.000452864,9057.284308
NC_028779.1,virus,0.000109124,2182.478147
NC_028780.1,virus,0.000779374,15587.48866
NC_028782.1,virus,0.000520923,10418.46147
NC_028783.1,virus,0.000340581,6811.629163
NC_028784.1,virus,0.000161963,3239.257038
NC_028785.1,virus,9.36E-05,1872.336515
NC_028786.1,virus,0.000205038,4100.76157
NC_028787.1,virus,0.00103438,20687.59548
NC_028788.1,virus,7.93E-05,1585.168338
NC_028789.1,virus,0.000619709,12394.17853
NC_028791.1,virus,0.000178044,3560.885397
NC_028792.1,virus,8.90E-05,1780.442698
NC_028794.1,virus,7.06E-05,1412.867432
NC_028795.1,virus,8.44E-05,1688.548882
NC_028796.1,virus,0.000202166,4043.327935
NC_028798.1,virus,0.000101658,2033.150694
NC_028799.1,virus,0.001554729,31094.57022
NC_028800.1,virus,0.000185511,3710.212849
NC_028801.1,virus,1.15E-05,229.7345417
NC_028802.1,virus,0.000144733,2894.655226
NC_028803.1,virus,2.53E-05,505.4159918
NC_028804.1,virus,4.14E-05,827.0443503
NC_028805.1,virus,0.001124551,22491.01164
NC_028807.1,virus,9.19E-05,1837.876334
NC_028808.2,virus,0.000684609,13692.17869
NC_028809.1,virus,0.000300378,6007.558266
NC_028810.1,virus,2.76E-05,551.3629002
NC_028812.1,virus,0.000262472,5249.434279
NC_028813.1,virus,0.000105678,2113.557784
NC_028815.1,virus,3.39E-05,677.7168981
NC_028816.1,virus,3.10E-05,620.2832627
NC_028817.1,virus,0.000187808,3756.159757
NC_028818.1,virus,0.000184936,3698.726122
NC_028819.1,virus,0.000408353,8167.062959
NC_028820.1,virus,0.002585088,51701.75862
NC_028821.1,virus,0.001504761,30095.22497
NC_028822.1,virus,0.000499673,9993.452566
NC_028823.1,virus,6.43E-05,1286.513434
NC_028825.1,virus,0.000413235,8264.700139
NC_028826.1,virus,0.000817281,16345.61264
NC_028827.1,virus,0.000206187,4123.735024
NC_028828.1,virus,1.72E-05,344.6018126
NC_028829.1,virus,0.002946345,58926.90996
NC_028830.1,virus,0.000258451,5169.027189
NC_028831.1,virus,0.000332541,6650.814983
NC_028832.1,virus,0.000231458,4629.151016
NC_028834.1,virus,0.000259026,5180.513916
NC_028835.1,virus,0.000174598,3491.965034
NC_028836.1,virus,7.81E-05,1562.194884
NC_028837.1,virus,0.000229735,4594.690835
NC_028840.1,virus,0.001901053,38021.06666
NC_028841.1,virus,0.000832213,16644.26755
NC_028842.1,virus,4.48E-05,895.9647128
NC_028843.1,virus,0.000226289,4525.770472
NC_028844.1,virus,0.000252421,5048.416555
NC_028846.1,virus,0.00011659,2331.805599
