NCBI Accession,type,proportion,number of bp
NC_021190.1,virus,0.000723147,14462.93808
NC_024206.1,virus,0.001812261,36245.21865
NC_024329.1,virus,0.001264344,25286.88101
NC_027118.1,virus,0.000394914,7898.273545
NC_027119.1,virus,0.001431821,28636.41063
NC_027120.1,virus,0.000481753,9635.06668
NC_027125.1,virus,0.003106585,62131.70681
NC_027130.1,virus,0.005349943,106998.8628
NC_027132.1,virus,0.004411248,88224.95606
NC_027204.1,virus,0.002832627,56652.53799
NC_027292.1,virus,0.000274992,5499.844929
NC_027293.1,virus,0.002019022,40380.4404
NC_027294.1,virus,0.000120955,2419.104724
NC_027295.1,virus,7.03E-05,1405.975395
NC_027296.1,virus,0.00049726,9945.208312
NC_027297.1,virus,0.001686137,33722.73338
NC_027299.1,virus,0.00044557,8911.402874
NC_027329.1,virus,0.000805334,16106.68872
NC_027330.1,virus,0.000240877,4817.53334
NC_027331.1,virus,0.002841931,56838.62297
NC_027332.1,virus,0.003472552,69451.04931
NC_027333.1,virus,8.99E-05,1798.821462
NC_027334.1,virus,0.000215032,4300.630621
NC_027335.1,virus,0.003430166,68603.32885
NC_027336.1,virus,5.69E-05,1137.185982
NC_027337.1,virus,0.000919053,18381.06068
NC_027339.1,virus,0.000553086,11061.71818
NC_027340.1,virus,0.001854647,37092.93911
NC_027341.1,virus,0.006662359,133247.1829
NC_027342.1,virus,0.000337021,6740.411455
NC_027344.1,virus,0.005873566,117471.3119
NC_027345.1,virus,0.000197457,3949.136772
NC_027346.1,virus,0.000124057,2481.133051
NC_027348.2,virus,0.000491058,9821.151659
NC_027349.1,virus,0.003482891,69657.8104
NC_027350.1,virus,0.000623385,12467.69358
NC_027351.1,virus,0.003217203,64344.05045
NC_027352.1,virus,0.002268169,45363.38261
NC_027354.1,virus,0.00012509,2501.80916
NC_027355.1,virus,0.00373824,74764.80926
NC_027356.1,virus,0.001258141,25162.82436
NC_027357.1,virus,5.79E-05,1157.86209
NC_027358.1,virus,0.000993487,19869.74051
NC_027359.1,virus,6.82E-05,1364.623178
NC_027360.1,virus,0.000786726,15734.51876
NC_027361.1,virus,9.72E-05,1943.554223
NC_027362.1,virus,5.79E-05,1157.86209
NC_027363.1,virus,0.000724698,14493.95224
NC_027364.1,virus,0.013031118,260622.3509
NC_027365.1,virus,0.000267756,5355.112168
NC_027366.1,virus,0.00505014,101002.7913
NC_027367.1,virus,3.62E-05,723.6638065
NC_027369.1,virus,0.001023467,20469.34767
NC_027370.1,virus,0.000157138,3142.768531
NC_027371.1,virus,0.000150936,3018.711878
NC_027372.1,virus,0.000464179,9283.572832
NC_027373.1,virus,9.20E-05,1840.173679
NC_027374.1,virus,0.004594231,91884.62731
NC_027375.1,virus,0.000208829,4176.573969
NC_027377.1,virus,0.000345291,6905.820325
NC_027378.1,virus,0.000289466,5789.310452
NC_027379.1,virus,0.001166133,23322.65068
NC_027381.1,virus,0.002318826,46376.51194
NC_027382.1,virus,0.000690582,13811.64065
NC_027383.1,virus,0.000460043,9200.868397
NC_027384.1,virus,0.000164375,3287.501292
NC_027385.1,virus,0.000158172,3163.44464
NC_027386.1,virus,7.13E-05,1426.651504
NC_027387.1,virus,0.000432648,8652.951515
NC_027388.1,virus,0.000200558,4011.165099
NC_027389.1,virus,4.45E-05,889.0726765
NC_027390.1,virus,0.000508632,10172.64551
NC_027391.1,virus,0.000256384,5127.674972
NC_027393.1,virus,0.000281195,5623.901582
NC_027394.1,virus,0.000507598,10151.9694
NC_027395.1,virus,0.001487646,29752.9205
NC_027396.1,virus,0.000589269,11785.38199
