NCBI accession number,name of host,genus,family,order,class,phylum,domain
NC_003112.2,Neisseria meningitidis MC58,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
NC_002516.2,Pseudomonas aeruginosa PAO1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_002505.1,Vibrio cholerae O1 biovar El Tor str. N16961,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_002162.1,Ureaplasma parvum serovar 3 str. ATCC 700970,Ureaplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,Bacteria
NC_002620.2,Chlamydia muridarum str. Nigg,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Bacteria
NC_002179.2,Chlamydophila pneumoniae AR39,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Bacteria
NC_002607.1,Halobacterium sp. NRC-1,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria,Euryarchaeota,Archaea
NC_002488.3,Xylella fastidiosa 9a5c,Xylella,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_002946.2,Neisseria gonorrhoeae FA 1090,Neisseria,Neisseriaceae,Neisseriales,Betaproteobacteria,Proteobacteria,Bacteria
NC_002663.1,Pasteurella multocida subsp. multocida str. Pm70,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_002491.1,Chlamydophila pneumoniae J138,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,Bacteria
NC_003197.1,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_002662.1,Lactococcus lactis subsp. lactis Il1403,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_003902.1,Xanthomonas campestris pv. campestris str. ATCC 33913,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003366.1,Clostridium perfringens str. 13,Clostridium,Clostridiaceae,Clostridiales,Clostridia,Firmicutes,Bacteria
NC_002737.1,Streptococcus pyogenes M1 GAS,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_003098.1,Streptococcus pneumoniae R6,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria
NC_002528.1,Buchnera aphidicola str. APS (Acyrthosiphon pisum),Buchnera,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_002942.5,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_003450.3,Corynebacterium glutamicum ATCC 13032,Corynebacterium,Corynebacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,Bacteria
