NCBI accession number,name of the virus,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_015209, Vibrio phage CTX,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_022762,Lactobacillus phage phiLdb,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_022764,Bacillus phage Page,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_022768,Salmonella phage Maynard,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_022774,Bacillus phage Slash,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_022775,Lactobacillus phage phiJB,NA,NA,NA,NA,NA,bacteria
NC_022980,Brevibacillus phage Davies,Brevibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_023498,Mycobacterium phage Validus,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_023499,Staphylococcus phage StauST398-4,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_023500,Staphylococcus phage StauST398-5,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_023501,Bacillus phage BPS10C,NA,NA,NA,NA,NA,bacteria
NC_023502,Rhizobium phage vB_RleS_L338C,Rhizobium,Rhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,bacteria
NC_023503,Streptococcus phage 20617,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_023548,Citrobacter phage CR8,Citrobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_023549,Clavibacter phage CN1A,Clavibacter,Microbacteriaceae,Micrococcales,Actinobacteria,Actinobacteria,bacteria
NC_023550,Staphylococcus phage GRCS,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_023551,Enterococcus phage IME-EF4,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
