NCBI accession number,name of the virus,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_000866,Enterobacteria phage T4,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_000867,Pseudoalteromonas phage PM2,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_000871,Streptococcus phage Sfi19,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_000872,Streptococcus phage Sfi21,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_000896,Lactobacillus phage phiadh,Lactobacillus,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_000902,Enterobacteria phage VT2-Sakai,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_000924,Enterobacteria phage 933W,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_000929,Enterobacteria phage Mu,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_000935,Endosymbiont phage APSE-1,Endosymbiont,NA,NA,NA,NA,bacteria
NC_001270,Spiroplasma phage SVTS2,Spiroplasma,Spiroplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,bacteria
NC_001271,Yersinia phage phiYeO3-12,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001317,Enterobacteria phage 186,NA,NA,NA,NA,NA,bacteria
NC_001330,Enterobacteria phage alpha3,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001331,Pseudomonas phage Pf1,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001332,Enterobacteria phage I2-2,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001335,Mycobacterium phage L5,NA,NA,NA,NA,NA,bacteria
NC_001338,Sulfolobus spindle-shaped virus 1,Sulfolobus,Sulfolobaceae,Sulfolobales,Thermoprotei,Crenarchaeota,archaea
NC_001341,Acholeplasma phage MV-L1,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes,bacteria
NC_001365,Spiroplasma phage 1-R8A2B,Spiroplasma,Spiroplasmataceae,Entomoplasmatales,Mollicutes,Tenericutes,bacteria
NC_001396,Xanthomonas phage Cf1c,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001416,Enterobacteria phage lambda,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001417,Enterobacteria phage MS2,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001418,Pseudomonas phage Pf3,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001420,Enterobacteria phage G4 sensu lato,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001421,Enterobacteria phage PRD1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001422,Enterobacteria phage phiX174 sensu lato,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001426,Enterobacteria phage BZ13,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001447,Acholeplasma phage L2,Acholeplasma,Acholeplasmataceae,Acholeplasmatales,Mollicutes,Tenericutes,bacteria
NC_001604,Enterobacteria phage T7,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001609,Enterobacteria phage P4,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001628,Pseudomonas phage PP7,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001629,Lactococcus phage bIL67,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_001697,Haemophilus phage HP1,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001706,Lactococcus phage c2,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_001730,Enterobacteria phage phiK,NA,NA,NA,NA,NA,bacteria
NC_001741,Chlamydia phage 1,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,bacteria
NC_001825,Streptococcus phage Cp-1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_001835,Lactococcus phage SK1,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_001884,Bacillus phage SPbeta,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,bacteria
NC_001890,Enterobacteria phage Qbeta,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001895,Enterobacteria phage P2,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001900,Mycobacterium phage D29,Mycobacterium,Mycobacteriaceae,Corynebacteriales,Actinobacteria,Actinobacteria,bacteria
NC_001901,Enterobacteria phage N15,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001902,Methanobacterium phage psiM2,Methanobacterium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Euryarchaeota,archaea
NC_001909,Lactococcus phage bIL170,Lactococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_001942,Mycoplasma phage MAV1,Mycoplasma,Mycoplasmataceae,Mycoplasmatales,Mollicutes,Tenericutes,bacteria
NC_001954,Enterobacteria phage If1,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001956,Vibrio phage fs2,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Proteobacteria,bacteria
NC_001978,Streptomyces phage phiC31,NA,NA,NA,NA,NA,bacteria
NC_001998,Guinea pig Chlamydia phage,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,bacteria
NC_002014,Enterobacteria phage Ike,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_002072,Streptococcus phage DT1,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,bacteria
NC_002166,Enterobacteria phage HK022,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_002167,Enterobacteria phage HK97,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,bacteria
NC_002180,Chlamydia pneumoniae phage CPAR39,Chlamydophila,Chlamydiaceae,Chlamydiales,Chlamydiia,Chlamydiae,bacteria
