NCBI accession number,name of the virus,name of the host,genus of host,family of host,order of host,class of host,phylum of host,domain of host
NC_031045,"Salmonella phage GG32, complete genome",Salmonella enterica serovar Typhimurium,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031021,"Salmonella phage MA12, complete genome",Salmonella enterica serovar Enteritidis,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031909,"Campylobacter phage PC14, complete genome",Campylobacter jejuni NCTC 11168,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria,Proteobacteria,Bacteria
NC_031934,"Escherichia phage MX01, complete genome",Escherichia coli DE217,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031928,"Escherichia phage WG01, complete genome",Escherichia coli DE017,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031943,"Escherichia phage vB_EcoP_GA2A, complete genome",Escherichia coli O:45 strain C1328,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria
NC_031911,"Flavobacterium phage 1H, complete genome",Flavobacterium psychrophilum MH1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031926,"Flavobacterium phage 2A, complete genome",Flavobacterium psychrophilum A2,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031914,"Flavobacterium phage Fpv1, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031932,"Flavobacterium phage Fpv10, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031945,"Flavobacterium phage Fpv11, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031931,"Flavobacterium phage Fpv2, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031912,"Flavobacterium phage Fpv20, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031904,"Flavobacterium phage Fpv3, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031921,"Flavobacterium phage Fpv5, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
NC_031938,"Flavobacterium phage Fpv6, complete genome",Flavobacterium psychrophilum 950106-1/1,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria
